id,name,common_name,calories,protein,carbs,fat,sodium
D2400401,黃肉李,李子,35,0.4,8.9,0.2,0
D2400501,黑李,李子,57,0.7,14.7,0.2,0
D2500101,枇杷,琶琵果,38,0.3,9.8,0.2,4
D2600101,筆柿,"柿子,?,香柿(長柿,珍寶柿,筆干柿)",69,0.6,18.3,0.1,2
D27002,甜柿平均值,"柿子,?,香柿",57,0.5,15.2,0.1,3
D2700201,富有甜柿(大雪山),"柿子,?,香柿",57,0.4,15.1,0.1,0
D2700202,甜柿(進口),"柿子,?,香柿",57,0.6,15.3,0.1,5
D2700203,國產甜柿,"柿子,?,香柿",47,0.4,12.7,0.1,0
D2700301,牛心柿,"柿子,?,香柿(水柿,浸柿,硬柿,脆柿)",62,0.5,16.5,0.2,3
D2700401,四周柿,"柿子,?,香柿(紅柿,軟柿)",66,0.5,17.6,0.1,0
D2700501,柿餅,,196,1.7,52.2,0.2,4
D28001,水蜜桃平均值,"毛桃,白桃",39,0.9,9.7,0.2,2
D2800101,水蜜桃,"毛桃,白桃",40,0.9,9.9,0.1,3
D2800102,甜蜜桃,"毛桃,白桃",39,0.9,9.6,0.2,0
D28002,脆桃平均值,"桃子,甜桃",44,0.9,11.1,0.1,2
D2800201,白油桃,"桃子,脆桃,甜桃",37,0.6,9.3,0.1,1
D2800202,玫瑰桃,"桃子,脆桃,甜桃",51,1.2,12.8,0.1,7
D2800203,福壽桃,"桃子,脆桃,甜桃",47,0.9,11.9,0.2,0
D2800204,鶯哥桃,"桃子,脆桃,甜桃",42,1,10.5,0.2,0
D2800301,蟠桃,餅桃,45,0.9,11.3,0.2,0
D2900101,青梅(胭脂梅),梅子,35,0.5,8.8,0.1,1
D30001,西洋梨平均值,"梨子,水梨,山褵,快果,果宗",53,0.3,14.1,0.2,0
D3000101,西洋梨(青皮),"梨子,水梨,山褵,快果,果宗",62,0.3,16.5,0.2,0
D3000102,西洋梨(紅皮),"梨子,水梨,山褵,快果,果宗",53,0.3,13.9,0.2,1
D3000103,西洋梨(黃皮),"梨子,水梨,山褵,快果,果宗",44,0.2,11.8,0.1,0
D3000201,幸水梨,"梨子,水梨,山褵,快果,果宗",34,0.4,9,0,0
D3000202,大雪梨,"梨子,水梨,山褵,快果,果宗",42,0.3,11.1,0.1,0
D3000203,新世紀梨,"梨子,水梨,山褵,快果,果宗",42,0.4,10.7,0.2,6
D3000204,新興梨,"梨子,水梨,山褵,快果,果宗",44,0.2,11.9,0.1,0
D3000205,橫山梨,"梨子,水梨,山褵,快果,果宗(三灣冬梨,粗梨)",47,0.4,12.4,0.1,5
D3000206,豐水梨,"梨子,水梨,山褵,快果,果宗",36,0.5,9.4,0.1,0
D3000301,將軍蜜梨,"梨子,水梨,山褵,快果,果宗(三星上將梨)",50,0.4,13.3,0.1,0
D3000302,梨山蜜梨,"梨子,水梨,山褵,快果,果宗",47,0.3,12.7,0,0
D31001,蜜棗平均值(大),"棗子,棗仔",43,1.1,10.7,0.1,2
D3100101,蜜棗(長形),"棗子,棗仔",43,1.2,10.4,0.2,4
D3100102,蜜棗(圓形),"棗子,棗仔(蜜絲棗)",44,0.9,11,0.1,1
D3100201,珍珠蜜棗,"棗子,棗仔",46,1.1,11.7,0,1
D3100301,國產紅棗,紅棗,87,0.9,23.1,0.1,1
D3100401,紅棗(乾),"大棗,棗仔",227,3.2,59.5,0.3,10
D3100402,黑棗(乾),"大棗,棗仔",230,2.7,60.9,0.2,3
D32001,蘋果平均值(青皮),"柰,林檎",50,0.3,13.1,0.2,2
D3200101,青龍蘋果,"柰,林檎,青蘋果",54,0.3,14,0.3,1
D3200102,翠玉青蘋果,"柰,林檎,青蘋果(翡翠,青玉,史蜜斯)",46,0.3,12.2,0.1,3
D3200201,翠玉青蘋果(帶皮),"柰,林檎,青蘋果(翡翠,青玉,史蜜斯)",54,0.4,14.1,0.2,5
D3200301,美國五爪蘋果,"柰,林檎,紅蘋果(元帥)",51,0.2,13.8,0.1,2
D32004,蘋果平均值(混色),"柰,林檎",51,0.2,13.9,0.1,1
D3200401,加拉蘋果,"柰,林檎",55,0.2,15,0.1,0
D3200402,津輕蜜蘋果,"柰,林檎",56,0.2,15.1,0.2,1
D3200403,秋香蘋果,"柰,林檎",45,0.3,12.3,0,0
D3200404,富士蘋果,"柰,林檎",49,0.2,13.1,0.1,3
D3200501,富士蘋果(帶皮),"柰,林檎",45,0.2,11.9,0.1,3
D3200601,金冠蘋果,"柰,林檎,黃蘋果(黃元帥)",49,0.4,13,0.1,0
D3300101,櫻桃,"中國櫻桃又稱鶯桃,荊桃",75,1.2,19.1,0.3,2
D3300201,白櫻桃,"中國櫻桃又稱鶯桃,荊桃",69,0.7,18.4,0.1,1
D3400101,椪柑,"橘子,蘆柑,壼柑,凸柑,乳柑,潮州柑",40,0.8,10,0.2,2
D3400201,紅柑,"美人(女)柑,明尼吉柚,葡萄蜜柑,迷你葡萄柚",42,0.8,10.6,0.1,1
D3400202,茂谷柑,柑,44,0.6,11.5,0.1,1
D3400203,海梨桶柑,"年柑,草山柑,焦柑,蜜桶,漳柑,草山桔(海梨)",44,0.9,11,0.2,6
D3400204,高牆桶柑,"年柑,草山柑,焦柑,蜜桶,漳柑,草山桔(桶柑)",45,0.8,11.8,0,1
D3400205,檸檬柑,"三寶柑,甜檸檬",48,1.1,12.2,0.1,1
D3400206,砂糖橘,"十月桔,沙糖桔,沙糖橘,砂糖桔",50,0.7,12.6,0.3,3
D3400301,長果金柑,"金棗,羅浮柑",56,1,14.1,0.2,5
D3400302,圓果金柑,"金桔,金橘,桔子",32,0.7,7.6,0.2,4
D3400303,圓果金柑汁(綠皮),"金桔,金橘,桔子",32,0.9,8,0.1,1
D3500101,文旦,"柚子,內紫,朱欒,香欒,座凡,拋,欒",34,0.7,8.8,0.1,0
D3500102,文旦(2023年取樣),"麻豆文旦,文旦柚",48,0.6,12.7,0,1
D3500201,白柚,"柚子,內紫,朱欒,香欒,座凡,拋,欒",37,0.6,9.6,0.1,7
D3500301,西施蜜柚,"柚子,內紫,朱欒,香欒,座凡,拋,欒(西施柚)",40,0.8,10.1,0.2,0
D36001,甜橙平均值(普遍系),"甜橙,柳橙,柳丁,印子柑,廣柑",46,0.8,11.3,0.2,3
D3600101,柳橙,"甜橙,柳橙,柳丁,印子柑,廣柑",44,0.8,11,0.1,5
D3600102,香吉士(進口),"甜橙,柳橙,柳丁,印子柑,廣柑",47,0.7,11.4,0.5,1
D3600103,澳洲甜橙(進口),"甜橙,柳橙,柳丁,印子柑,廣柑",46,0.9,11.6,0.1,3
D3700101,青皮葡萄柚,"西柚,朱欒",33,0.8,8.3,0.1,1
D3700201,紅寶石葡萄柚(古坑),"西柚,朱欒",37,0.7,8.9,0.3,0
D3700301,黃皮葡萄柚(進口),"西柚,朱欒",38,0.7,9.7,0.1,1
D3700401,黃皮葡萄柚,"西柚,朱欒",37,0.7,9.2,0.2,4
D3800101,檸檬,,33,0.7,7.4,0.5,4
D3800201,萊姆,無子檸檬,38,0.5,7.7,1,1
D38003,檸檬汁平均值,,31,0.5,7,0.4,1
D3800301,檸檬汁(黃皮),,30,0.5,7.2,0.3,1
D3800302,檸檬汁(綠皮),,31,0.4,6.9,0.6,1
D3830102,萊姆汁,無子檸檬,34,0.3,8.1,0.5,0
D3930101,紅甘蔗汁,甘蔗汁、高貴蔗汁、果蔗汁、干蔗汁、薯蔗汁、竹蔗汁,76,0.5,20.2,0.2,0
D3930102,"紅甘蔗汁(有機,2023年取樣)",甘蔗汁、高貴蔗汁、果蔗汁、干蔗汁、薯蔗汁、竹蔗汁,72,0.2,18.8,0.4,0
D4000101,人心果,"吳鳳柿,沙漠吉拉,查某囝仔,人蔘果",83,0.6,20.5,0.8,10
D41301,可可椰子汁平均值,"椰子汁,越王頭汁",17,0.1,4.4,0.1,10
D4130101,可可椰子汁(屏東),"椰子汁,越王頭汁",16,0.1,3.8,0.2,3
D4130102,可可椰子汁(進口),"椰子汁,越王頭汁",19,0.2,5,0,16
D4300101,蛋黃果,仙桃,106,1.4,27.3,0.3,3
D4400101,無花果,,67,1.2,16.5,0.4,9
D4410101,無花果乾,無花果,328,3.6,77.8,4.3,10
D4500101,黃金果,黃晶果,44,0.9,11,0.2,0
D4600101,菠蘿蜜,"天波羅,樹波羅",108,1,28.4,0.2,0
D4600201,榴槤蜜,"尖百達,尖蜜拉,小樹菠蘿,小波羅蜜",124,1.6,32.6,0.1,0
D4700101,牛奶果,星蘋果,62,0.8,15.8,0.3,3
D4800101,餘甘子,"油柑,油甘",43,0.3,10.8,0.3,2
D4900101,嘉寶果,樹葡萄,59,0.3,15.3,0.3,0
D5000101,藍莓(台灣),,53,0.5,13.6,0.3,0
E0100101,牛蒡,"吳帽,吳某,牛菜,蒡翁菜,鼠黏",84,2.5,19.1,0.4,15
E02001,胡蘿蔔平均值,"紅蘿蔔,紅菜頭,黃蘿蔔,丁香蘿蔔,人參,金筍",39,1.1,8.9,0.1,89
E0200101,胡蘿蔔,"紅蘿蔔,紅菜頭,黃蘿蔔,丁香蘿蔔,人參,金筍",37,1,8.5,0.2,67
E0200102,向陽二號胡蘿蔔,"紅蘿蔔,紅菜頭,黃蘿蔔,丁香蘿蔔,人參,金筍",44,0.6,10.6,0.1,92
E0200103,澳洲胡蘿蔔(細長型),"紅蘿蔔,紅菜頭,黃蘿蔔,丁香蘿蔔,人參,金筍",34,1.7,7.5,0.1,109
E0200201,黃胡蘿蔔,"紅蘿蔔,紅菜頭,黃蘿蔔,丁香蘿蔔,人參,金筍",42,1.1,9.4,0.3,65
E0200301,冷凍胡蘿蔔,"紅蘿蔔,紅菜頭,黃蘿蔔,丁香蘿蔔,人參,金筍",13,0.5,3,0.1,65
E0300101,根菾菜根,"甜菜根,火焰菜根",27,1.2,6,0.1,236
E0300102,根菾菜根(2023年取樣),"甜菜根,火焰菜根",37,1.2,8.6,0,141
E04001,白蘿蔔平均值,"蘿蔔,菜頭,萊菔,蘆萉,仙人骨,大菜,大根",18,0.5,3.9,0.1,46
E0400101,白蘿蔔,"蘿蔔,菜頭,萊菔,蘆萉,仙人骨,大菜,大根",16,0.7,3.3,0.1,27
E0400102,白蘿蔔(長形),"蘿蔔,菜頭,萊菔,蘆萉,仙人骨,大菜,大根",19,0.4,4.4,0.1,65
E0400201,櫻桃蘿蔔,"蘿蔔,菜頭,萊菔,小根蘿蔔,二十日蘿蔔,小粒菜頭",11,0.6,2.3,0,43
E0400301,青蘿蔔,"蘿蔔,菜頭,萊菔,綠蘿蔔,綠長蘿蔔,青菜頭,青大根",33,1.8,7,0.1,13
E0420101,蘿蔔乾,"菜脯乾,菜脯",58,2.2,10.8,1.2,3279
E0500101,百合鱗片,"百合,百合花鱗片,蒜腦藷",137,3.8,32.3,0.1,4
E0510101,乾百合鱗片,"乾百合,乾百合花鱗片,乾蒜腦藷",304,11.8,68.4,0.7,90
E0600101,芋莖,"芋拐,芋橫,芋葉梗",20,1.1,3.4,0.5,4
E0700101,金針菜嫩莖,"碧玉筍,金針筍,金針菜梗,軟化金針菜,金針嫩菜芽,萱草菜嫩芽",24,0.7,5.3,0.2,1
